gene,gene_symbol,gene_label,source_logreg,source_shap,in_logreg,in_shap
1316_at,THRA,THRA,logreg,,True,False
215789_s_at,AJAP1,AJAP1,logreg,,True,False
215991_s_at,EMC1,EMC1,logreg,,True,False
216101_at,,216101_at,logreg,,True,False
217546_at,MT1M,MT1M,logreg,,True,False
217941_s_at,ERBB2IP,ERBB2IP,logreg,,True,False
218251_at,MID1IP1,MID1IP1,logreg,,True,False
219097_x_at,SMIM7,SMIM7,logreg,,True,False
219193_at,WDR70,WDR70,logreg,,True,False
219255_x_at,IL17RB,IL17RB,logreg,,True,False
222264_at,HNRNPUL2,HNRNPUL2,logreg,,True,False
222513_s_at,SORBS1,SORBS1,logreg,,True,False
222809_x_at,CCDC85C,CCDC85C,logreg,,True,False
222983_s_at,PAIP2,PAIP2,logreg,,True,False
223002_s_at,XRN2,XRN2,logreg,,True,False
223211_at,HACL1,HACL1,logreg,,True,False
223219_s_at,CNOT10,CNOT10,logreg,,True,False
223450_s_at,COG3,COG3,logreg,,True,False
223460_at,CAMKK1,CAMKK1,logreg,,True,False
223701_s_at,USP47,USP47,logreg,,True,False
224156_x_at,IL17RB,IL17RB,logreg,,True,False
224280_s_at,MTFR1L,MTFR1L,logreg,,True,False
224331_s_at,MRPL36,MRPL36,logreg,,True,False
224366_s_at,REPS1,REPS1,logreg,,True,False
224410_s_at,LMBR1,LMBR1,logreg,,True,False
224414_s_at,CARD6,CARD6,logreg,,True,False
224726_at,MIB1,MIB1,logreg,,True,False
224774_s_at,NAV1,NAV1,logreg,,True,False
225234_at,CBL,CBL,logreg,,True,False
225237_s_at,MSI2,MSI2,logreg,,True,False
225368_at,HIPK2,HIPK2,logreg,,True,False
225489_at,TMEM18,TMEM18,logreg,,True,False
225493_at,CCNT1,CCNT1,logreg,,True,False
225741_at,THUMPD3,THUMPD3,logreg,,True,False
226360_at,ZNRF3,ZNRF3,logreg,,True,False
226428_at,TNPO2,TNPO2,logreg,,True,False
226648_at,HIF1AN,HIF1AN,logreg,,True,False
226876_at,FAM101B,FAM101B,logreg,,True,False
226879_at,HVCN1,HVCN1,logreg,,True,False
227051_at,BACE2,BACE2,logreg,,True,False
227068_at,PGK1,PGK1,logreg,,True,False
227260_at,,227260_at,logreg,,True,False
227321_at,GATS,GATS,logreg,,True,False
227365_at,ATCAY,ATCAY,logreg,,True,False
227404_s_at,EGR1,EGR1,logreg,,True,False
227730_at,DYM,DYM,logreg,,True,False
227959_at,ANKRD9,ANKRD9,logreg,,True,False
228556_at,YTHDC1,YTHDC1,logreg,,True,False
228581_at,KCNJ10,KCNJ10,logreg,,True,False
