gene,gene_symbol,gene_label,F_score,p_value
230392_at,,230392_at,56.030135081761905,1.0575800233658716e-10
244778_x_at,,244778_x_at,54.47226596603079,1.6731859318913658e-10
230656_s_at,CIRH1A,CIRH1A,53.046832125254774,2.5586856618327446e-10
215789_s_at,AJAP1,AJAP1,52.067354382383,3.4356581735272966e-10
219549_s_at,RTN3,RTN3,50.32164787917689,5.843606575204451e-10
222620_s_at,DNAJC1,DNAJC1,48.44957935615789,1.0417871565702142e-09
207084_at,POU3F2,POU3F2,47.03201299562626,1.6239054440656996e-09
238558_at,,238558_at,46.09523592648804,2.183940655244438e-09
224774_s_at,NAV1,NAV1,45.70494222485598,2.4726339645879732e-09
238595_at,,238595_at,45.622395656281824,2.538556970140155e-09
1556007_s_at,CSNK1A1,CSNK1A1,45.38053350290796,2.7423027314135e-09
244292_at,,244292_at,45.08824749159673,3.0111188124994347e-09
242239_at,NSUN6,NSUN6,44.14722632345032,4.0755425881070984e-09
1569482_at,,1569482_at,44.01835718279514,4.248860445813877e-09
244197_x_at,,244197_x_at,42.759283978675406,6.398407505117593e-09
230258_at,GLIS3,GLIS3,42.0738117054991,8.011429348163803e-09
237768_x_at,,237768_x_at,41.484833146238,9.729357032344425e-09
227944_at,PTPN3,PTPN3,41.48460279073441,9.730098302052353e-09
227084_at,DTNA,DTNA,41.19543776017143,1.0707938532620294e-08
214415_at,PLGLB1|PLGLB2,PLGLB1|PLGLB2,40.320260770238335,1.4329903208974564e-08
227404_s_at,EGR1,EGR1,40.00457502581503,1.592703786542091e-08
1562935_at,,1562935_at,39.987016397406094,1.6021066978946586e-08
242829_x_at,,242829_x_at,39.96970962456999,1.6114305534982716e-08
225293_at,COL27A1,COL27A1,39.83958838028698,1.683341612918684e-08
200875_s_at,MIR1292|NOP56|SNORD110|SNORD57|SNORD86,MIR1292|NOP56|SNORD110|SNORD57|SNORD86,39.76644296035787,1.7252046593102048e-08
232264_at,,232264_at,39.75142601994691,1.7339307626724488e-08
203122_at,TRAPPC12,TRAPPC12,39.46600036701809,1.9086925328904882e-08
208610_s_at,SRRM2,SRRM2,38.93445828763401,2.2839905106339253e-08
234969_s_at,EPC1,EPC1,38.67197636779495,2.4965078138282397e-08
216524_x_at,,216524_x_at,38.28548305261005,2.8470741271998933e-08
242611_at,,242611_at,38.03118933970806,3.1049729902396384e-08
203197_s_at,C1orf123,C1orf123,37.980277620278905,3.1594265481763634e-08
202517_at,CRMP1,CRMP1,37.91539332295025,3.2302499002402785e-08
217152_at,,217152_at,37.70158131092998,3.4753949662053745e-08
231735_s_at,MALAT1,MALAT1,37.57377530640695,3.6309813975056546e-08
201199_s_at,PSMD1,PSMD1,37.47417327997897,3.75718431163803e-08
215230_x_at,EIF3C|EIF3CL,EIF3C|EIF3CL,37.46265963149397,3.772060721832085e-08
201341_at,ENC1,ENC1,37.314502663893315,3.968980502873329e-08
228686_at,LINC01184|LOC101929964,LINC01184|LOC101929964,37.214197105330854,4.108269486379977e-08
204270_at,SKI,SKI,37.17334276642353,4.16643218978735e-08
222358_x_at,,222358_x_at,37.170183232917424,4.1709653919130856e-08
242801_at,,242801_at,37.033588551952256,4.371872328977515e-08
1553274_a_at,SNRNP48,SNRNP48,36.925016719129495,4.5386403833412445e-08
226675_s_at,MALAT1,MALAT1,36.8214760498104,4.7037723021741716e-08
211750_x_at,TUBA1C,TUBA1C,36.64912490319517,4.99246754201624e-08
