gene,gene_symbol,gene_label,mean_abs_shap
238558_at,,238558_at,0.0068437194438079
211993_at,WNK1,WNK1,0.0064769738245065
203146_s_at,GABBR1,GABBR1,0.0062252488271829
222125_s_at,P4HTM,P4HTM,0.0056113942147337
200629_at,WARS,WARS,0.0049731629412292
1558732_at,MAP4K4,MAP4K4,0.0043889160866217
202517_at,CRMP1,CRMP1,0.0040985984441161
242829_x_at,,242829_x_at,0.0039946504829936
213045_at,MAST3,MAST3,0.0039659169364649
224689_at,MANBAL,MANBAL,0.0036282909840776
212923_s_at,PXDC1,PXDC1,0.0034796290206415
231735_s_at,MALAT1,MALAT1,0.0033650895621861
218953_s_at,PCYOX1L,PCYOX1L,0.0033617312839088
209159_s_at,NDRG4,NDRG4,0.0032072604253882
230296_at,C16orf52|LOC101930115|VWA3A,C16orf52|LOC101930115|VWA3A,0.0031743846616577
210976_s_at,PFKM,PFKM,0.0031169890627697
211752_s_at,NDUFS7,NDUFS7,0.0028500355828646
234562_x_at,,234562_x_at,0.0028159473029716
223206_s_at,NMRAL1,NMRAL1,0.0027823376865443
200039_s_at,PSMB2,PSMB2,0.0026819436018076
201632_at,EIF2B1,EIF2B1,0.0026588020515277
223272_s_at,NTPCR,NTPCR,0.0026579147424998
243648_at,ZBED6,ZBED6,0.0026475970399367
201635_s_at,FXR1,FXR1,0.0025719363501221
211921_x_at,LOC100506248|LOC728026|MIR1244-1|MIR1244-2|MIR1244-3|PTMA,LOC100506248|LOC728026|MIR1244-1|MIR1244-2|MIR1244-3|PTMA,0.0025458746620995
209268_at,VPS45,VPS45,0.0025236581401353
202041_s_at,FIBP,FIBP,0.0024948437295965
207084_at,POU3F2,POU3F2,0.0024899203050991
202433_at,SLC35B1,SLC35B1,0.0024189366739134
201704_at,ENTPD6,ENTPD6,0.0023290353881655
223134_at,BBX,BBX,0.0023246528515519
225507_at,PNISR,PNISR,0.0022877540752456
206652_at,ZMYM5,ZMYM5,0.0022348347530897
1556007_s_at,CSNK1A1,CSNK1A1,0.0022293608236375
219549_s_at,RTN3,RTN3,0.0021852361885086
238642_at,ANKRD13D,ANKRD13D,0.0021822657228798
