gene,source_logreg,source_shap,in_logreg_top20,in_shap_top20
219255_x_at,logreg,,True,False
222983_s_at,logreg,,True,False
224156_x_at,logreg,,True,False
224280_s_at,logreg,,True,False
224331_s_at,logreg,,True,False
224366_s_at,logreg,,True,False
224414_s_at,logreg,,True,False
225234_at,logreg,,True,False
225493_at,logreg,,True,False
225741_at,logreg,,True,False
226648_at,logreg,,True,False
226879_at,logreg,,True,False
227051_at,logreg,,True,False
227068_at,logreg,,True,False
227260_at,logreg,,True,False
227404_s_at,logreg,,True,False
227730_at,logreg,,True,False
227959_at,logreg,,True,False
228556_at,logreg,,True,False
228581_at,logreg,,True,False
