gene,source_logreg,source_shap,in_logreg,in_shap
1316_at,logreg,,True,False
215789_s_at,logreg,,True,False
215991_s_at,logreg,,True,False
216101_at,logreg,,True,False
217546_at,logreg,,True,False
217941_s_at,logreg,,True,False
218251_at,logreg,,True,False
219097_x_at,logreg,,True,False
219193_at,logreg,,True,False
219255_x_at,logreg,,True,False
222264_at,logreg,,True,False
222513_s_at,logreg,,True,False
222809_x_at,logreg,,True,False
222983_s_at,logreg,,True,False
223002_s_at,logreg,,True,False
223211_at,logreg,,True,False
223219_s_at,logreg,,True,False
223450_s_at,logreg,,True,False
223460_at,logreg,,True,False
223701_s_at,logreg,,True,False
224156_x_at,logreg,,True,False
224280_s_at,logreg,,True,False
224331_s_at,logreg,,True,False
224366_s_at,logreg,,True,False
224410_s_at,logreg,,True,False
224414_s_at,logreg,,True,False
224726_at,logreg,,True,False
224774_s_at,logreg,,True,False
225234_at,logreg,,True,False
225237_s_at,logreg,,True,False
225368_at,logreg,,True,False
225489_at,logreg,,True,False
225493_at,logreg,,True,False
225741_at,logreg,,True,False
226360_at,logreg,,True,False
226428_at,logreg,,True,False
226648_at,logreg,,True,False
226876_at,logreg,,True,False
226879_at,logreg,,True,False
227051_at,logreg,,True,False
227068_at,logreg,,True,False
227260_at,logreg,,True,False
227321_at,logreg,,True,False
227365_at,logreg,,True,False
227404_s_at,logreg,,True,False
227730_at,logreg,,True,False
227959_at,logreg,,True,False
228556_at,logreg,,True,False
228581_at,logreg,,True,False
