gene,source_logreg,source_shap,in_logreg,in_shap
1554863_s_at,,shap,False,True
1555931_at,,shap,False,True
1556007_s_at,,shap,False,True
1558732_at,,shap,False,True
1559101_at,,shap,False,True
1562935_at,,shap,False,True
1569302_at,,shap,False,True
200039_s_at,,shap,False,True
200629_at,,shap,False,True
201387_s_at,,shap,False,True
201415_at,,shap,False,True
201502_s_at,,shap,False,True
201632_at,,shap,False,True
201635_s_at,,shap,False,True
201704_at,,shap,False,True
202041_s_at,,shap,False,True
202074_s_at,,shap,False,True
202309_at,,shap,False,True
202433_at,,shap,False,True
202517_at,,shap,False,True
203146_s_at,,shap,False,True
203266_s_at,,shap,False,True
203605_at,,shap,False,True
204270_at,,shap,False,True
204355_at,,shap,False,True
205550_s_at,,shap,False,True
205738_s_at,,shap,False,True
205787_x_at,,shap,False,True
206652_at,,shap,False,True
207084_at,,shap,False,True
207170_s_at,,shap,False,True
208977_x_at,,shap,False,True
209001_s_at,,shap,False,True
209026_x_at,,shap,False,True
209159_s_at,,shap,False,True
209163_at,,shap,False,True
209258_s_at,,shap,False,True
209268_at,,shap,False,True
209424_s_at,,shap,False,True
210976_s_at,,shap,False,True
211752_s_at,,shap,False,True
211921_x_at,,shap,False,True
211993_at,,shap,False,True
212177_at,,shap,False,True
212361_s_at,,shap,False,True
212923_s_at,,shap,False,True
213045_at,,shap,False,True
214577_at,,shap,False,True
217786_at,,shap,False,True
217817_at,,shap,False,True
218377_s_at,,shap,False,True
218953_s_at,,shap,False,True
219549_s_at,,shap,False,True
220615_s_at,,shap,False,True
221831_at,,shap,False,True
222125_s_at,,shap,False,True
222425_s_at,,shap,False,True
222620_s_at,,shap,False,True
223134_at,,shap,False,True
223206_s_at,,shap,False,True
224771_at,,shap,False,True
225239_at,,shap,False,True
225507_at,,shap,False,True
225571_at,,shap,False,True
226675_s_at,,shap,False,True
227062_at,,shap,False,True
228541_x_at,,shap,False,True
229656_s_at,,shap,False,True
229776_at,,shap,False,True
230296_at,,shap,False,True
230392_at,,shap,False,True
230629_s_at,,shap,False,True
231015_at,,shap,False,True
231735_s_at,,shap,False,True
234562_x_at,,shap,False,True
235119_at,,shap,False,True
235213_at,,shap,False,True
235640_at,,shap,False,True
236488_s_at,,shap,False,True
237790_at,,shap,False,True
238558_at,,shap,False,True
238642_at,,shap,False,True
239649_at,,shap,False,True
241893_at,,shap,False,True
242366_at,,shap,False,True
242712_x_at,,shap,False,True
242829_x_at,,shap,False,True
243233_at,,shap,False,True
243648_at,,shap,False,True
243988_at,,shap,False,True
244197_x_at,,shap,False,True
244778_x_at,,shap,False,True
43427_at,,shap,False,True
