gene,source_logreg,source_shap,in_logreg_top20,in_shap_top20
1558732_at,,shap,False,True
200039_s_at,,shap,False,True
200629_at,,shap,False,True
202517_at,,shap,False,True
203146_s_at,,shap,False,True
209159_s_at,,shap,False,True
210976_s_at,,shap,False,True
211752_s_at,,shap,False,True
211993_at,,shap,False,True
212923_s_at,,shap,False,True
213045_at,,shap,False,True
218953_s_at,,shap,False,True
222125_s_at,,shap,False,True
223206_s_at,,shap,False,True
224689_at,,shap,False,True
230296_at,,shap,False,True
231735_s_at,,shap,False,True
234562_x_at,,shap,False,True
238558_at,,shap,False,True
242829_x_at,,shap,False,True
