gene,gene_display,gene_symbol,gene_label,importance_mean,importance_std
1007_s_at,DDR1|MIR4640 (1007_s_at),DDR1|MIR4640,DDR1|MIR4640,0.0,0.0
224509_s_at,RTN4IP1 (224509_s_at),RTN4IP1,RTN4IP1,0.0,0.0
224689_at,MANBAL (224689_at),MANBAL,MANBAL,0.0,0.0
224680_at,TMED4 (224680_at),TMED4,TMED4,0.0,0.0
224667_x_at,ANAPC16 (224667_x_at),ANAPC16,ANAPC16,0.0,0.0
224666_at,NSMCE1 (224666_at),NSMCE1,NSMCE1,0.0,0.0
224656_s_at,LUZP6|MTPN (224656_s_at),LUZP6|MTPN,LUZP6|MTPN,0.0,0.0
224630_at,ERLEC1 (224630_at),ERLEC1,ERLEC1,0.0,0.0
224628_at,ERLEC1 (224628_at),ERLEC1,ERLEC1,0.0,0.0
224618_at,PTBP3 (224618_at),PTBP3,PTBP3,0.0,0.0
224613_s_at,DNAJC5 (224613_s_at),DNAJC5,DNAJC5,0.0,0.0
224612_s_at,DNAJC5 (224612_s_at),DNAJC5,DNAJC5,0.0,0.0
224594_x_at,ACTB (224594_x_at),ACTB,ACTB,0.0,0.0
224567_x_at,MALAT1 (224567_x_at),MALAT1,MALAT1,0.0,0.0
224523_s_at,CMSS1 (224523_s_at),CMSS1,CMSS1,0.0,0.0
224462_s_at,CHCHD6 (224462_s_at),CHCHD6,CHCHD6,0.0,0.0
224129_s_at,DPY30 (224129_s_at),DPY30,DPY30,0.0,0.0
224414_s_at,CARD6 (224414_s_at),CARD6,CARD6,0.0,0.0
224410_s_at,LMBR1 (224410_s_at),LMBR1,LMBR1,0.0,0.0
224393_s_at,CECR6 (224393_s_at),CECR6,CECR6,0.0,0.0
224376_s_at,C20orf24|TGIF2-C20orf24 (224376_s_at),C20orf24|TGIF2-C20orf24,C20orf24|TGIF2-C20orf24,0.0,0.0
224368_s_at,NDRG3 (224368_s_at),NDRG3,NDRG3,0.0,0.0
224366_s_at,REPS1 (224366_s_at),REPS1,REPS1,0.0,0.0
224345_x_at,FAM162A (224345_x_at),FAM162A,FAM162A,0.0,0.0
224331_s_at,MRPL36 (224331_s_at),MRPL36,MRPL36,0.0,0.0
