gene,F_score,p_value
230392_at,56.030135081761905,1.0575800233658715e-10
244778_x_at,54.47226596603079,1.6731859318913658e-10
230656_s_at,53.046832125254774,2.558685661832745e-10
215789_s_at,52.067354382383,3.4356581735272966e-10
219549_s_at,50.32164787917689,5.843606575204452e-10
222620_s_at,48.44957935615789,1.0417871565702144e-09
207084_at,47.03201299562626,1.6239054440656998e-09
238558_at,46.09523592648804,2.1839406552444384e-09
224774_s_at,45.70494222485598,2.472633964587973e-09
238595_at,45.622395656281824,2.538556970140155e-09
1556007_s_at,45.38053350290796,2.7423027314135e-09
244292_at,45.08824749159673,3.0111188124994347e-09
242239_at,44.14722632345032,4.075542588107098e-09
1569482_at,44.01835718279514,4.248860445813877e-09
244197_x_at,42.759283978675406,6.398407505117593e-09
230258_at,42.0738117054991,8.011429348163803e-09
237768_x_at,41.484833146237996,9.729357032344423e-09
227944_at,41.48460279073441,9.730098302052351e-09
227084_at,41.19543776017143,1.0707938532620294e-08
214415_at,40.320260770238335,1.4329903208974564e-08
227404_s_at,40.00457502581503,1.592703786542091e-08
1562935_at,39.987016397406094,1.6021066978946586e-08
242829_x_at,39.96970962456999,1.6114305534982716e-08
225293_at,39.83958838028698,1.683341612918684e-08
200875_s_at,39.76644296035787,1.7252046593102048e-08
232264_at,39.75142601994691,1.7339307626724488e-08
203122_at,39.46600036701809,1.908692532890488e-08
208610_s_at,38.93445828763401,2.2839905106339253e-08
234969_s_at,38.67197636779495,2.4965078138282397e-08
216524_x_at,38.28548305261005,2.847074127199893e-08
242611_at,38.03118933970806,3.104972990239638e-08
203197_s_at,37.980277620278905,3.159426548176363e-08
202517_at,37.91539332295025,3.230249900240278e-08
217152_at,37.70158131092998,3.475394966205374e-08
231735_s_at,37.57377530640695,3.6309813975056546e-08
201199_s_at,37.47417327997897,3.75718431163803e-08
215230_x_at,37.46265963149397,3.772060721832085e-08
201341_at,37.314502663893315,3.968980502873329e-08
228686_at,37.214197105330854,4.108269486379977e-08
204270_at,37.17334276642353,4.16643218978735e-08
222358_x_at,37.170183232917424,4.170965391913085e-08
242801_at,37.033588551952256,4.3718723289775156e-08
1553274_a_at,36.925016719129495,4.538640383341244e-08
226675_s_at,36.8214760498104,4.703772302174171e-08
211750_x_at,36.64912490319517,4.99246754201624e-08
218377_s_at,36.574700169399776,5.122702337067502e-08
225912_at,36.5429197952043,5.179373182104566e-08
206826_at,36.51007305733506,5.2386228467329216e-08
242712_x_at,36.474014448400226,5.304468661008203e-08
243648_at,36.44496418227459,5.358134942230932e-08
212954_at,36.407639010845955,5.4279079238699385e-08
201400_at,36.3403997268919,5.55596547390126e-08
223134_at,36.30092781802931,5.632582055432395e-08
