gene,importance_mean,importance_std
1007_s_at,0.0,0.0
224509_s_at,0.0,0.0
224689_at,0.0,0.0
224680_at,0.0,0.0
224667_x_at,0.0,0.0
224666_at,0.0,0.0
224656_s_at,0.0,0.0
224630_at,0.0,0.0
224628_at,0.0,0.0
224618_at,0.0,0.0
224613_s_at,0.0,0.0
224612_s_at,0.0,0.0
224594_x_at,0.0,0.0
224567_x_at,0.0,0.0
224523_s_at,0.0,0.0
224462_s_at,0.0,0.0
224129_s_at,0.0,0.0
224414_s_at,0.0,0.0
224410_s_at,0.0,0.0
224393_s_at,0.0,0.0
224376_s_at,0.0,0.0
224368_s_at,0.0,0.0
224366_s_at,0.0,0.0
224345_x_at,0.0,0.0
224331_s_at,0.0,0.0
224280_s_at,0.0,0.0
224254_x_at,0.0,0.0
224227_s_at,0.0,0.0
224187_x_at,0.0,0.0
224163_s_at,0.0,0.0
224709_s_at,0.0,0.0
224726_at,0.0,0.0
224738_x_at,0.0,0.0
224743_at,0.0,0.0
225117_at,0.0,0.0
225115_at,0.0,0.0
225111_s_at,0.0,0.0
225094_at,0.0,0.0
225092_at,0.0,0.0
225063_at,0.0,0.0
225061_at,0.0,0.0
225044_at,0.0,0.0
225003_at,0.0,0.0
225001_at,0.0,0.0
224999_at,0.0,0.0
224975_at,0.0,0.0
224970_at,0.0,0.0
224943_at,0.0,0.0
224913_s_at,0.0,0.0
224879_at,0.0,0.0
224878_at,0.0,0.0
224875_at,0.0,0.0
224871_at,0.0,0.0
224851_at,0.0,0.0
224825_at,0.0,0.0
224818_at,0.0,0.0
224801_at,0.0,0.0
224799_at,0.0,0.0
224782_at,0.0,0.0
224774_s_at,0.0,0.0
224771_at,0.0,0.0
224156_x_at,0.0,0.0
224057_s_at,0.0,0.0
1316_at,0.0,0.0
223104_at,0.0,0.0
223211_at,0.0,0.0
223207_x_at,0.0,0.0
223206_s_at,0.0,0.0
223193_x_at,0.0,0.0
223189_x_at,0.0,0.0
223185_s_at,0.0,0.0
223183_at,0.0,0.0
223156_at,0.0,0.0
223145_s_at,0.0,0.0
223134_at,0.0,0.0
223124_s_at,0.0,0.0
223109_at,0.0,0.0
223107_s_at,0.0,0.0
223088_x_at,0.0,0.0
224025_s_at,0.0,0.0
223082_at,0.0,0.0
223060_at,0.0,0.0
223059_s_at,0.0,0.0
223056_s_at,0.0,0.0
223043_at,0.0,0.0
223037_at,0.0,0.0
223020_at,0.0,0.0
223011_s_at,0.0,0.0
223002_s_at,0.0,0.0
222997_s_at,0.0,0.0
222995_s_at,0.0,0.0
222984_at,0.0,0.0
222983_s_at,0.0,0.0
223216_x_at,0.0,0.0
223219_s_at,0.0,0.0
223223_at,0.0,0.0
223229_at,0.0,0.0
223964_x_at,0.0,0.0
223913_s_at,0.0,0.0
223857_x_at,0.0,0.0
223757_at,0.0,0.0
223721_s_at,0.0,0.0
223711_s_at,0.0,0.0
223708_at,0.0,0.0
