gene,abs_coef,rank_abs_coef,importance_mean,rank_perm,rank_combined
227404_s_at,0.07643057304800974,22,0.0,157,89.5
227959_at,0.07998948956754796,17,0.0,175,96.0
224366_s_at,0.043252132734095124,179,0.0,23,101.0
227730_at,0.06938157226085903,37,0.0,184,110.5
222983_s_at,0.047485867521336926,133,0.0,93,113.0
225234_at,0.050736926606971176,103,0.0,126,114.5
228556_at,0.05739622054345134,72,0.0,165,118.5
224156_x_at,0.04295884545399007,183,0.0,62,122.5
227051_at,0.04850339995953372,127,0.0,144,135.5
226879_at,0.04611849200372686,141,0.0,150,145.5
226648_at,0.05005767174872566,110,0.0,189,149.5
225741_at,0.04944572701678236,116,0.0,196,156.0
224280_s_at,0.03589407348255151,286,0.0,26,156.0
225493_at,0.04947306683640718,115,0.0,206,160.5
228581_at,0.04446342958552569,163,0.0,164,163.5
227260_at,0.041691694158655215,198,0.0,134,166.0
219255_x_at,0.06440883918723812,48,0.0,286,167.0
224331_s_at,0.03445025056709177,310,0.0,25,167.5
227068_at,0.03976317978439811,227,0.0,128,177.5
224414_s_at,0.03247731245862553,351,0.0,18,184.5
219193_at,0.05459464584945953,82,0.0,288,185.0
226876_at,0.039937047703238526,226,0.0,151,188.5
215991_s_at,0.06539321276950101,44,0.0,335,189.5
224726_at,0.032517333392148434,349,0.0,32,190.5
222809_x_at,0.09857047744728856,4,0.0,377,190.5
215789_s_at,0.06479200059395024,47,0.0,338,192.5
223450_s_at,0.03655613638615612,272,0.0,115,193.5
227365_at,0.037251506671476836,263,0.0,129,196.0
224774_s_at,0.03337233821446438,333,0.0,60,196.5
223002_s_at,0.03464982457670676,306,0.0,89,197.5
226360_at,0.04462162373695412,161,0.0,235,198.0
222264_at,0.07706926657425517,19,0.0,384,201.5
225237_s_at,0.03634846345055909,279,0.0,127,203.0
226428_at,0.04298495758359279,182,0.0,231,206.5
223211_at,0.032559709486042754,347,0.0,66,206.5
227321_at,0.03583789945731315,289,0.0,131,210.0
218251_at,0.04478997914117492,159,0.0,264,211.5
217546_at,0.052460414378610744,90,0.0,347,218.5
225368_at,0.040015959771646695,224,0.0,213,218.5
223460_at,0.03357295394455962,324,0.0,114,219.0
217941_s_at,0.05108443739253758,97,0.0,349,223.0
224410_s_at,0.02883333999146399,429,0.0,19,224.0
223219_s_at,0.0323696186654373,353,0.0,95,224.0
225489_at,0.03884027661425581,243,0.0,207,225.0
219097_x_at,0.04424234620496037,168,0.0,290,229.0
216101_at,0.04843216443869408,129,0.0,331,230.0
222513_s_at,0.07191907617915859,34,0.0,427,230.5
223272_s_at,0.032858198726410257,343,0.0,123,233.0
223701_s_at,0.031986733437401854,361,0.0,105,233.0
1316_at,0.030006980911381632,403,0.0,64,233.5
218263_s_at,0.040359241804726914,218,0.0,263,240.5
223319_at,0.03177282821598745,366,0.0,121,243.5
222614_at,0.05759273184115434,70,0.0,419,244.5
219445_at,0.07346994988678823,26,0.0,463,244.5
227582_at,0.034859510849327195,304,0.0,186,245.0
227847_at,0.0338504584053269,318,0.0,181,249.5
227084_at,0.03201715913764917,360,0.0,140,250.0
220040_x_at,0.06432198630640816,51,0.0,449,250.0
223124_s_at,0.029148105215625494,425,0.0,76,250.5
219543_at,0.06435890617371233,50,0.0,461,255.5
222902_s_at,0.037434521659282474,261,0.0,250,255.5
223082_at,0.02853348617258958,439,0.0,81,260.0
228774_at,0.07512349146700029,23,0.0,501,262.0
242320_at,0.08205878115528796,16,0.0,518,267.0
218735_s_at,0.03919840707277819,238,0.0,299,268.5
219833_s_at,0.054049865879250356,84,0.0,454,269.0
242299_at,0.10387787185136775,3,0.0,536,269.5
220329_s_at,0.057518206584767535,71,0.0,470,270.5
228059_x_at,0.031334237586821835,373,0.0,171,272.0
218204_s_at,0.03632952337569942,280,0.0,267,273.5
219463_at,0.05331818843725158,86,0.0,462,274.0
218653_at,0.03863469192871842,246,0.0,303,274.5
215811_at,0.0404575770617793,216,0.0,337,276.5
223964_x_at,0.027427482754274004,463,0.0,98,280.5
220155_s_at,0.049388444959247636,118,0.0,444,281.0
241762_at,0.08746886159918132,11,0.0,552,281.5
225063_at,0.025420758858270456,524,0.0,40,282.0
216232_s_at,0.03924267382929596,236,0.0,329,282.5
222282_at,0.04234371687943719,186,0.0,383,284.5
221899_at,0.04302639822099518,181,0.0,392,286.5
228027_at,0.029811917538867055,405,0.0,173,289.0
218328_at,0.03354877155521482,326,0.0,259,292.5
223650_s_at,0.026918890979488172,478,0.0,109,293.5
224368_s_at,0.024163279387550134,573,0.0,22,297.5
225719_s_at,0.030077763553616996,400,0.0,198,299.0
241216_at,0.05795095264123029,69,0.0,532,300.5
225733_at,0.029633831883590735,409,0.0,197,303.0
222997_s_at,0.025710708988689164,518,0.0,90,304.0
218763_at,0.034124059056893,314,0.0,298,306.0
222548_s_at,0.042159278270898964,188,0.0,424,306.0
222409_at,0.04327780479333069,178,0.0,434,306.0
225742_at,0.029406953718682613,418,0.0,195,306.5
228686_at,0.027815853053285523,452,0.0,162,307.0
238468_at,0.07283445806183483,30,0.0,584,307.0
224689_at,0.02339498242858946,612,0.0,3,307.5
225044_at,0.02409971442341417,576,0.0,42,309.0
222759_at,0.04088132932070318,207,0.0,414,310.5
218310_at,0.031924908396093445,363,0.0,260,311.5
223011_s_at,0.02504179958039337,542,0.0,88,315.0
241008_at,0.0487512718596515,125,0.0,506,315.5
239826_at,0.06991844110048488,36,0.0,604,320.0
241226_at,0.04966345252029285,113,0.0,534,323.5
238836_at,0.05436913537378356,83,0.0,567,325.0
225239_at,0.02610757929490778,508,0.0,143,325.5
217795_s_at,0.03536277241852797,297,0.0,361,329.0
241837_at,0.049979528825791805,111,0.0,547,329.0
227434_at,0.026289248899819487,503,0.0,158,330.5
220609_at,0.04412819670723609,169,0.0,493,331.0
241215_at,0.04493653666545135,158,0.0,504,331.0
240971_x_at,0.04512305529127558,157,0.0,507,332.0
228038_at,0.026515767568917575,494,0.0,172,333.0
222594_s_at,0.03870096840025987,245,0.0,422,333.5
222474_s_at,0.03906160486684173,242,0.0,428,335.0
