probe_id,gene_symbol,gene_display,mean_abs_shap
238558_at,,238558_at,0.006843719443807914
211993_at,WNK1,WNK1 (211993_at),0.006476973824506511
203146_s_at,GABBR1,GABBR1 (203146_s_at),0.006225248827182918
222125_s_at,P4HTM,P4HTM (222125_s_at),0.005611394214733787
200629_at,WARS,WARS (200629_at),0.004973162941229289
1558732_at,MAP4K4,MAP4K4 (1558732_at),0.004388916086621764
202517_at,CRMP1,CRMP1 (202517_at),0.0040985984441161685
242829_x_at,,242829_x_at,0.003994650482993624
213045_at,MAST3,MAST3 (213045_at),0.003965916936464974
224689_at,MANBAL,MANBAL (224689_at),0.0036282909840776177
212923_s_at,PXDC1,PXDC1 (212923_s_at),0.003479629020641525
231735_s_at,MALAT1,MALAT1 (231735_s_at),0.0033650895621861587
218953_s_at,PCYOX1L,PCYOX1L (218953_s_at),0.003361731283908807
209159_s_at,NDRG4,NDRG4 (209159_s_at),0.003207260425388271
230296_at,C16orf52|LOC101930115|VWA3A,C16orf52|LOC101930115|VWA3A (230296_at),0.0031743846616577127
210976_s_at,PFKM,PFKM (210976_s_at),0.003116989062769764
211752_s_at,NDUFS7,NDUFS7 (211752_s_at),0.0028500355828646675
234562_x_at,,234562_x_at,0.002815947302971677
223206_s_at,NMRAL1,NMRAL1 (223206_s_at),0.002782337686544345
200039_s_at,PSMB2,PSMB2 (200039_s_at),0.0026819436018076445
201632_at,EIF2B1,EIF2B1 (201632_at),0.002658802051527702
223272_s_at,NTPCR,NTPCR (223272_s_at),0.002657914742499882
243648_at,ZBED6,ZBED6 (243648_at),0.0026475970399367525
201635_s_at,FXR1,FXR1 (201635_s_at),0.0025719363501221526
211921_x_at,LOC100506248|LOC728026|MIR1244-1|MIR1244-2|MIR1244-3|PTMA,LOC100506248|LOC728026|MIR1244-1|MIR1244-2|MIR1244-3|PTMA (211921_x_at),0.0025458746620995046
209268_at,VPS45,VPS45 (209268_at),0.002523658140135349
202041_s_at,FIBP,FIBP (202041_s_at),0.0024948437295965976
207084_at,POU3F2,POU3F2 (207084_at),0.002489920305099104
202433_at,SLC35B1,SLC35B1 (202433_at),0.0024189366739134264
201704_at,ENTPD6,ENTPD6 (201704_at),0.002329035388165598
223134_at,BBX,BBX (223134_at),0.0023246528515519097
225507_at,PNISR,PNISR (225507_at),0.0022877540752456282
206652_at,ZMYM5,ZMYM5 (206652_at),0.002234834753089791
1556007_s_at,CSNK1A1,CSNK1A1 (1556007_s_at),0.0022293608236375437
219549_s_at,RTN3,RTN3 (219549_s_at),0.002185236188508642
238642_at,ANKRD13D,ANKRD13D (238642_at),0.0021822657228798364
242712_x_at,RANBP2|RGPD1|RGPD2|RGPD3|RGPD4|RGPD5|RGPD6|RGPD8,RANBP2|RGPD1|RGPD2|RGPD3|RGPD4|RGPD5|RGPD6|RGPD8 (242712_x_at),0.002167941241849128
212361_s_at,ATP2A2,ATP2A2 (212361_s_at),0.002151808023369713
227582_at,KLHDC9,KLHDC9 (227582_at),0.0021286211963634535
244778_x_at,,244778_x_at,0.002118136812971743
204270_at,SKI,SKI (204270_at),0.0021160753466381403
202074_s_at,OPTN,OPTN (202074_s_at),0.002112522971291771
225571_at,LIFR,LIFR (225571_at),0.002092012298699343
1569302_at,KIAA1731,KIAA1731 (1569302_at),0.0020834794880914436
220615_s_at,FAR2,FAR2 (220615_s_at),0.002063889353980449
225239_at,MIR612|NEAT1,MIR612|NEAT1 (225239_at),0.0020334510752033075
244197_x_at,,244197_x_at,0.0020083962445012634
203266_s_at,MAP2K4,MAP2K4 (203266_s_at),0.002000032101062654
217786_at,PRMT5,PRMT5 (217786_at),0.0019982297393753685
218377_s_at,RWDD2B,RWDD2B (218377_s_at),0.0019460193551975257
224771_at,NAV1,NAV1 (224771_at),0.0019282828604454433
218328_at,COQ4,COQ4 (218328_at),0.0019079560863150273
226675_s_at,MALAT1,MALAT1 (226675_s_at),0.0018998361515409103
1562935_at,,1562935_at,0.0018916221538354677
231015_at,KLF15,KLF15 (231015_at),0.0018842490548007412
230629_s_at,EP400,EP400 (230629_s_at),0.001870122780594763
235213_at,ITPKB,ITPKB (235213_at),0.0018613915176248393
235119_at,TAF3,TAF3 (235119_at),0.0018607921087814517
223460_at,CAMKK1,CAMKK1 (223460_at),0.0018469193081337933
201502_s_at,NFKBIA,NFKBIA (201502_s_at),0.00183692031634194
204355_at,DHX30,DHX30 (204355_at),0.001830231418375176
205787_x_at,LOC441155|ZC3H11A,LOC441155|ZC3H11A (205787_x_at),0.0018252765159600109
203605_at,SRP54,SRP54 (203605_at),0.001820645038588934
209001_s_at,ANAPC13,ANAPC13 (209001_s_at),0.001797196324537164
214577_at,MAP1B,MAP1B (214577_at),0.0017918952256157077
230392_at,,230392_at,0.0017875341667135153
236488_s_at,CTD-3092A11.2,CTD-3092A11.2 (236488_s_at),0.0017670642204862153
202309_at,MTHFD1,MTHFD1 (202309_at),0.0017391733703979455
209026_x_at,TUBB,TUBB (209026_x_at),0.001732443390922072
217817_at,ARPC4,ARPC4 (217817_at),0.0017170935424309598
