probe_id,gene_symbol,gene_display,mean_abs_shap
238558_at,,238558_at,0.006843719443807914
211993_at,WNK1,WNK1 (211993_at),0.006476973824506511
203146_s_at,GABBR1,GABBR1 (203146_s_at),0.006225248827182918
222125_s_at,P4HTM,P4HTM (222125_s_at),0.005611394214733787
200629_at,WARS,WARS (200629_at),0.004973162941229289
1558732_at,MAP4K4,MAP4K4 (1558732_at),0.004388916086621764
202517_at,CRMP1,CRMP1 (202517_at),0.0040985984441161685
242829_x_at,,242829_x_at,0.003994650482993624
213045_at,MAST3,MAST3 (213045_at),0.003965916936464974
224689_at,MANBAL,MANBAL (224689_at),0.0036282909840776177
212923_s_at,PXDC1,PXDC1 (212923_s_at),0.003479629020641525
231735_s_at,MALAT1,MALAT1 (231735_s_at),0.0033650895621861587
218953_s_at,PCYOX1L,PCYOX1L (218953_s_at),0.003361731283908807
209159_s_at,NDRG4,NDRG4 (209159_s_at),0.003207260425388271
230296_at,C16orf52|LOC101930115|VWA3A,C16orf52|LOC101930115|VWA3A (230296_at),0.0031743846616577127
210976_s_at,PFKM,PFKM (210976_s_at),0.003116989062769764
211752_s_at,NDUFS7,NDUFS7 (211752_s_at),0.0028500355828646675
234562_x_at,,234562_x_at,0.002815947302971677
223206_s_at,NMRAL1,NMRAL1 (223206_s_at),0.002782337686544345
200039_s_at,PSMB2,PSMB2 (200039_s_at),0.0026819436018076445
